Type of Crime,Arrest,Count
DECEPTIVE PRACTICE,TRUE,7
CRIMINAL DAMAGE,TRUE,6
OTHER OFFENSE,TRUE,20
CRIM SEXUAL ASSAULT,TRUE,1
WEAPONS VIOLATION,TRUE,16
ROBBERY,TRUE,10
THEFT,TRUE,22
ARSON,FALSE,2
DECEPTIVE PRACTICE,FALSE,70
CRIM SEXUAL ASSAULT,FALSE,5
THEFT,FALSE,189
OTHER OFFENSE,FALSE,68
OFFENSE INVOLVING CHILDREN,FALSE,16
SEX OFFENSE,FALSE,3
BURGLARY,FALSE,66
CRIMINAL DAMAGE,FALSE,96
BATTERY,TRUE,51
CRIMINAL TRESPASS,TRUE,20
BURGLARY,TRUE,3
BATTERY,FALSE,143
ROBBERY,FALSE,57
ASSAULT,FALSE,60
HOMICIDE,FALSE,1
CRIMINAL TRESPASS,FALSE,13
MOTOR VEHICLE THEFT,FALSE,45
NARCOTICS,TRUE,38
ASSAULT,TRUE,8
INTERFERENCE WITH PUBLIC OFFICER,TRUE,4
OFFENSE INVOLVING CHILDREN,TRUE,1
SEX OFFENSE,TRUE,1
PUBLIC PEACE VIOLATION,FALSE,1
PUBLIC PEACE VIOLATION,TRUE,2
KIDNAPPING,FALSE,1
MOTOR VEHICLE THEFT,TRUE,2
NON-CRIMINAL,FALSE,1
